epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.4,1.36159,1.93405,1.45505,0.5892,0.5624,0.51696,0.30712,1.56017,1.7761,1.54891,0.000332569,0.000332569,0.0670757
2,347.193,1.3348,1.52362,1.43247,0.7641,0.52137,0.61064,0.37929,1.43933,1.45206,1.45973,0.00065931,0.00065931,0.0340691
3,465.621,1.34259,1.46642,1.44469,0.69883,0.56623,0.62694,0.37857,1.52109,1.41682,1.48372,0.000979451,0.000979451,0.0010559
4,581.36,1.29885,1.3538,1.39965,0.74392,0.64,0.71414,0.45303,1.39889,1.31264,1.39749,0.0009703,0.0009703,0.0009703
5,698.99,1.27014,1.25947,1.37119,0.68447,0.73182,0.77593,0.5014,1.38582,1.11958,1.37221,0.0009604,0.0009604,0.0009604
6,815.138,1.23139,1.15812,1.34352,0.78498,0.67127,0.73853,0.46181,1.41974,1.12741,1.41399,0.0009505,0.0009505,0.0009505
7,930.245,1.21053,1.10557,1.33105,0.78677,0.69049,0.78236,0.4911,1.41812,1.00402,1.38854,0.0009406,0.0009406,0.0009406
8,1045.41,1.17914,1.04855,1.31505,0.81105,0.75753,0.8265,0.54024,1.33365,0.94688,1.33103,0.0009307,0.0009307,0.0009307
