epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3131.39,0.85893,0.51384,0.00846,0.93384,0.87155,0.90076,0.74674,0.95026,0.64499,0.01147,0.000373312,0.000373312,0.000373312
43,3201,0.85063,0.50719,0.00829,0.93647,0.86369,0.91505,0.77462,0.92207,0.57705,0.01104,0.000352037,0.000352037,0.000352037
44,3270.94,0.82962,0.49897,0.00809,0.93734,0.86425,0.90766,0.75765,0.92411,0.62002,0.01094,0.000331069,0.000331069,0.000331069
45,3340.83,0.84121,0.49922,0.00807,0.9059,0.87752,0.90186,0.77277,0.90604,0.628,0.01053,0.000310453,0.000310453,0.000310453
46,3410.48,0.8346,0.49678,0.00821,0.91223,0.88934,0.90947,0.7715,0.90014,0.62234,0.0105,0.000290228,0.000290228,0.000290228
47,3480.95,0.82331,0.49359,0.0081,0.93958,0.87301,0.91215,0.77179,0.90713,0.61237,0.01058,0.000270435,0.000270435,0.000270435
48,3550.95,0.82111,0.48013,0.00795,0.93001,0.86976,0.91039,0.76443,0.90873,0.62749,0.01061,0.000251115,0.000251115,0.000251115
49,3620.94,0.82033,0.48007,0.00788,0.92472,0.86733,0.9067,0.76934,0.91491,0.63883,0.01073,0.000232306,0.000232306,0.000232306
50,3690.81,0.81446,0.47094,0.00779,0.93685,0.88523,0.91201,0.77344,0.91196,0.61425,0.0107,0.000214046,0.000214046,0.000214046
51,3760.35,0.80181,0.46914,0.00773,0.93487,0.88589,0.91202,0.77471,0.91701,0.62398,0.01077,0.000196373,0.000196373,0.000196373
52,3830.5,0.79324,0.4633,0.00766,0.94784,0.86597,0.90848,0.77409,0.91436,0.61937,0.01073,0.00017932,0.00017932,0.00017932
53,3900.25,0.78115,0.45424,0.00755,0.91964,0.86604,0.9053,0.76894,0.90068,0.63492,0.01057,0.000162924,0.000162924,0.000162924
54,3970.32,0.78453,0.44598,0.00756,0.93009,0.89317,0.91105,0.77989,0.90422,0.60138,0.01058,0.000147217,0.000147217,0.000147217
55,4040.49,0.78694,0.45374,0.00752,0.9228,0.89261,0.91124,0.7741,0.904,0.59835,0.01056,0.00013223,0.00013223,0.00013223
56,4110.61,0.77537,0.44114,0.00747,0.92741,0.87678,0.91027,0.78614,0.88427,0.59714,0.01021,0.000117993,0.000117993,0.000117993
57,4180.62,0.77268,0.4358,0.00747,0.93656,0.87292,0.90965,0.78352,0.8968,0.59942,0.01038,0.000104537,0.000104537,0.000104537
58,4250.76,0.7718,0.44915,0.00732,0.92812,0.87892,0.90958,0.77785,0.89754,0.60527,0.01039,9.18862e-05,9.18862e-05,9.18862e-05
59,4321.02,0.77711,0.447,0.00743,0.93198,0.87805,0.91003,0.78089,0.88688,0.60769,0.01017,8.00678e-05,8.00678e-05,8.00678e-05
